Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
43,LTS,3,4,9:36,9:47,10:09,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
44,LTS,4,4,9:43,9:46,10:03,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
45,LTC,1,4,,11:11,,0,7/15/14,22,65,9:08,9:14,9:20,,,11:25
46,LTC,2,4,9:35,9:50,10:11,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
47,LTC,3,4,9:40,10:13,10:35,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
48,LTC,4,4,9:44,9:48,10:13,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
1,LTP,1,1,9:17:00,10:20,10:40,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
2,LTP,2,1,9:52,10:46,11:16,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
3,LTP,3,1,10:44,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
4,LTP,4,1,9:24,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
5,LTS,1,1,9:44,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
6,LTS,2,1,9:52,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
7,LTS,3,1,9:13,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
8,LTS,4,1,10:13,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
9,LTC,1,1,10:03,10:23,10:47,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
10,LTC,2,1,9:59,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
11,LTC,3,1,9:23,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
12,LTC,4,1,9:18,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
13,LTP,1,2,9:33,9:42,10:03,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
14,LTP,2,2,,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
15,LTP,3,2,9:21,9:41,10:00,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
16,LTP,4,2,9:25,,,0,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
17,LTS,1,2,9:58,10:00,10:20,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
18,LTS,2,2,10:04,10:07,10:33,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
19,LTS,3,2,,9:43,10:03,1,7/22/14,23,67,9:08,9:15,9:23,9:29,9:36,11:16
